article;list_price;buying_price
144605470R;277.45;152.60
144605567R;264.95;145.72
144605593R;277.45;152.60
144605647R;277.45;152.60
144605705R;277.45;152.60
144605770R;277.45;152.60
144605812R;277.45;152.60
144605956R;277.45;152.60
144605995R;277.45;152.60
144606UB0A;277.45;152.60
144606UB0B;277.45;152.60
144606106R;462.04;254.12
144606126R;277.45;152.60
144606143R;277.45;152.60
144606247R;277.45;152.60
144606343R;277.45;152.60
144606515R;277.45;152.60
144606931R;296.13;162.87
144607FV0A;277.45;152.60
144607FY0A;393.44;216.39
144607033R;170.09;93.55
144607035R;277.45;152.60
144607066R;277.45;152.60
144607119R;257.60;141.68
144607250R;277.45;152.60
144607476R;277.45;152.60
144607512R;277.45;152.60
144607562R;277.45;152.60
144607625R;277.45;152.60
144607725R;277.45;152.60
144607746R;277.45;152.60
144607751R;277.45;152.60
144607753R;277.45;152.60
144607788R;264.53;145.49
144607842R;330.17;181.59
144607865R;237.77;130.77
144607906R;335.68;184.62
144607933R;277.45;152.60
144608003R;257.60;141.68
144608199R;277.45;152.60
144608245R;214.54;118.00
144608304R;305.27;167.90
144608356R;277.45;152.60
144608373R;277.45;152.60
144608386R;277.45;152.60
144608430R;277.45;152.60
144608432R;277.45;152.60
144608435R;269.36;148.15
144608470R;265.84;146.21
144608527R;277.45;152.60
144608573R;277.45;152.60
144608578R;277.45;152.60
144608957R;277.45;152.60
144609120R;277.45;152.60
144609369R;277.45;152.60
144609531R;277.45;152.60
144609670R;277.45;152.60
144609794R;277.45;152.60
144609899R;277.45;152.60
144609994R;277.45;152.60
14463JG72A;277.45;152.60
144632831R;277.45;152.60
144634BD0A;277.45;152.60
144634EB0C;277.45;152.60
144634JA0B;277.45;152.60
144634JA1D;277.45;152.60
144634570R;277.45;152.60
144635688R;277.45;152.60
144637670R;277.45;152.60
144637829R;277.45;152.60
144638079R;32.77;18.02
144638449R;75.82;41.70
144674BD0B;58.88;48.10
144830222R;135.50;78.59
144830771R;235.30;136.47
144835951R;129.53;75.13
144838486R;154.07;89.36
14486JY70A;5.89;4.81
144864724R;96.45;78.80
144865409R;85.29;69.68
144874KV1A;79.75;65.16
145138377R;268.88;147.88
146423159R;29.77;24.32
146427334R;57.42;46.91
146429391R;48.82;39.89
147B05102R;785.82;416.48
147B05269R;504.73;267.51
147B08010R;458.71;243.12
147135966R;102.65;56.46
147170061R;86.21;70.43
147170741R;128.73;105.17
147171653R;195.32;159.58
147257790R;651.42;345.25
147350678R;264.37;140.12
147350718R;193.67;102.65
147350782R;337.62;178.94
147351881R;264.37;140.12
147353457R;264.37;140.12
147353806R;736.38;390.28
147353981R;264.37;140.12
147354PM1A;1011.94;536.33
147354114R;244.09;129.37
147354256R;264.37;140.12
147354591R;390.41;206.92
147354876R;264.37;140.12
147355238R;264.37;140.12
147355889R;264.37;140.12
147356011R;337.62;178.94
147356446R;247.70;131.28
147357082R;253.75;134.49
147357086R;279.77;148.28
147357324R;253.75;134.49
147357337R;245.47;130.10
147357493R;175.42;92.97
147357722R;304.80;161.54
147358452R;810.62;429.63
147358604R;312.01;165.37
147359714R;194.80;103.24
147359823R;253.22;134.21
149114270R;112.12;87.23
149119208R;111.06;86.40
149121487R;123.40;96.01
149126090R;123.40;96.01
149170923R;90.52;49.79
149171606R;68.14;37.48
149175344R;23.24;12.78
149176456R;82.30;45.27
149176901R;71.86;39.52
149179119R;28.27;15.55
149223699R;191.90;111.30
14930AX00A;128.82;74.72
149303YM0A;112.59;65.30
149304ED0A;94.02;54.53
149304569R;94.02;54.53
149304749R;191.90;111.30
149305RB1A;112.59;65.30
149305385R;94.02;54.53
149320952R;55.03;44.96
149329902R;41.10;33.58
149405998R;111.06;86.40
149500004R;123.40;96.01
149501402R;126.41;98.35
149502437R;123.40;96.01
149502698R;123.40;96.01
149502710R;123.40;96.01
149503989R;122.11;95.00
149503995R;113.88;88.60
149504GB0B;123.40;96.01
149504164R;123.40;96.01
149504335R;123.40;96.01
149504480R;123.40;96.01
149504493R;123.40;96.01
149505479R;123.40;96.01
149505949R;123.40;96.01
149506N208;123.40;96.01
149506382R;123.40;96.01
149507892R;123.40;96.01
149508016R;123.40;96.01
