article;list_price;buying_price;buying_price_self;discount;discount_self;description;weight;DLNR
623104199R;138.27;112.97;100.11;18.3;27.6;FRONTGRILL   YT55;3750;7455
623104218R;344.43;281.40;249.37;18.3;27.6;FRONTGRILL   QQ55;2535;7455
623104446R;314.31;256.79;227.56;18.3;27.6;GRILL        DN55;2300;7455
623104478R;101.72;83.11;73.65;18.3;27.6;FRONTGRILL   DU55;2080;7455
623104803R;179.90;146.98;130.25;18.3;27.6;GRILL        7A55;1370;7455
623104898R;99.32;81.14;71.91;18.3;27.6;GRILL        4A55;670;7455
623104956R;463.49;378.67;335.57;18.3;27.6;FRONTGRILL   YM55;2280;7455
623104988R;144.94;118.42;104.94;18.3;27.6;GRILL        CN55;830;7455
623105JH1A;287.52;234.90;208.16;18.3;27.6;FRONTGRILL   5Q55;4550;7455
623105JN1A;303.78;248.19;219.94;18.3;27.6;FRONTGRILL   5Q55;3340;7455
623105009R;230.29;188.15;166.73;18.3;27.6;GRILL        4A55;4580;7455
623105226R;411.18;335.93;297.69;18.3;27.6;GRILL        YM55;2650;7455
623105273R;230.29;188.15;166.73;18.3;27.6;FRONTGRILL   DE55;4600;7455
623105314R;101.05;82.56;73.16;18.3;27.6;GRILL        DQ55;1390;7455
623105350R;125.65;102.66;90.97;18.3;27.6;GRILL        DI55;1630;7455
623105401R;117.54;96.03;85.10;18.3;27.6;GRILL        CJ55;2030;7455
623105518R;174.52;142.58;126.35;18.3;27.6;GRILL        7C55;2100;7455
623105549R;142.41;116.35;103.10;18.3;27.6;GRILL        JN55;1900;7455
623105565R;144.94;118.42;104.94;18.3;27.6;FRONTGRILL   CN55;880;7455
623105634R;130.11;106.30;94.20;18.3;27.6;GRILL        DN55;1220;7455
623105689R;138.27;112.97;100.11;18.3;27.6;FRONTGRILL   YT55;2740;7455
623105852R;92.74;75.77;67.14;18.3;27.6;GRILL        DI55;1660;7455
623105875R;92.69;75.73;67.11;18.3;27.6;GRILL        DH55;1500;7455
623106152R;147.18;120.25;106.56;18.3;27.6;FRONTGRILL   5A55;1460;7455
623106214R;92.69;75.73;67.11;18.3;27.6;GRILL        DH55;1500;7455
623106263R;397.89;325.08;288.07;18.3;27.6;KUEHLERGRILL YT55;4650;7455
623106551R;92.74;75.77;67.14;18.3;27.6;GRILL        DI55;1660;7455
